privateID,repositoryName,usageType,exemptionText,timestamp
github_978832160,jv-test,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.127874+00:00
github_874255253,cdc-appointment-event-sf-mq,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.150572+00:00
github_395103134,ddt-ops-center,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.177336+00:00
github_951701580,niosh-ecp-tlq3_local-docker-scripts,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:19.193802+00:00
github_674405127,cfa-intro-to-github,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.219164+00:00
github_940795821,reedfrost-rsconnect,exemptByMissionSystem,"AI Suggestion: The repository deploys `cdcgov/reedfrost`, suggesting it's related to the Reed-Frost model for infectious disease spread, a core component of public health outbreak analysis.  This implies a critical role in the CDC's public health mission.",2025-05-16T21:15:19.240715+00:00
github_854760410,cdh-data-management,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.261690+00:00
github_778408850,coe-dataops-projects-hub,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.283706+00:00
github_647382521,custom-action-consumer,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.307183+00:00
github_500172361,mpx-2022-international,exemptByMissionSystem,"AI Suggestion: The repository contains R scripts and apps related to the international response to the 2022 Monkeypox outbreak, directly supporting a public health mission.  This suggests the code is critical to outbreak analysis and response efforts.",2025-05-16T21:15:19.326463+00:00
github_638956442,Edav-Flulims-Factory,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.348020+00:00
github_671131973,setnet-adf,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.365349+00:00
github_820969297,john-avila-devops,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.389299+00:00
github_974413411,Overdose-Oracles-DSU-R-Shiny-Dashboard,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.405102+00:00
github_983579731,ncbddd-dbdid-setnet-birth-defects-nlp,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.424394+00:00
github_971576951,nccdphp-od-nccd-proxy,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:19.443166+00:00
github_785269599,secret-rotation-template,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.470207+00:00
github_682693781,cfa-stf-team-materials,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.489296+00:00
github_289503970,private-travel-checker-api,exemptByMissionSystem,"AI Suggestion: The repository is an API for a COVID-19 Travel Checker, a tool directly supporting public health efforts related to disease monitoring and control.  This falls under a critical public health mission.",2025-05-16T21:15:19.510289+00:00
github_281776194,covid_analysis_template,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.530773+00:00
github_740654697,test,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.553092+00:00
github_971599481,nccdphp-od-surveillance-pubops-brfssdata,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.578375+00:00
github_607180049,nndss-synthetic-generator,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.597405+00:00
github_489017334,SAVI-Automated-Variant-data-pull,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.623107+00:00
github_673526353,EDAV-Customer-Roster-Metrics,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.638849+00:00
github_744640007,EDAV-DEX-Routing-ADF,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.662676+00:00
github_863114885,km-iis-backend,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.682402+00:00
github_757703827,data-exchange-portal-devops,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.705884+00:00
github_385068420,private-tb-directory-client,exemptByMissionSystem,"AI Suggestion: The repository is described as an application for a TB program, suggesting it's involved in managing and potentially analyzing tuberculosis data, a core public health mission.  The use of ""TB Care Finder system"" further implies a direct role in delivering public health services.",2025-05-16T21:15:19.732415+00:00
github_272777016,pageinfo-app,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.750294+00:00
github_738359334,NCCDPHP-DPH-BRFSS,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.772620+00:00
github_659454337,cfa-nnh-pipelines,exemptByMissionSystem,"AI Suggestion: The repository processes data for nowcasting, Rt estimation, and parameter estimation, all of which are crucial for public health surveillance and infectious disease modeling, directly supporting a public health mission.",2025-05-16T21:15:19.792271+00:00
github_564449388,mpx_data_overview_sources,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.815467+00:00
github_971588690,nccdphp-dhdsp-dhdsp-atlas-rewrite,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.845716+00:00
github_830177615,EDAV-Databricks-Internal,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.870504+00:00
github_938937182,ocio-architecture-proposal,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.892053+00:00
github_562989105,SAVI-Sublineage-Summary-Dashboard,exemptByMissionSystem,"AI Suggestion: The repository is a dashboard for investigating COVID-19 variant lineages, directly supporting public health surveillance and outbreak analysis, a core public health mission.  This makes it critical for understanding and responding to the pandemic.",2025-05-16T21:15:19.913677+00:00
github_962170342,epht-core,exemptNonCode,Non-code repository (languages: [Batchfile]),2025-05-16T21:15:19.936099+00:00
github_790856671,dash-pers,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.954273+00:00
github_983583683,ncbddd-dbdid-setnet-geospatial,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.972566+00:00
github_921201721,registry_linkage_ihs,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:19.994589+00:00
github_874313174,cdc-appointment-event-mq-aws,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.014802+00:00
github_951701479,niosh-ecp-adw-techops-elkstack,exemptNonCode,Non-code repository (languages: [Shell]),2025-05-16T21:15:20.037663+00:00
github_874308865,cdc-vaccine-history-search,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.058077+00:00
github_894655303,cfa-nssp-postprocessing,exemptByMissionSystem,"AI Suggestion: The repository processes NSSP (National Syndromic Surveillance Program) data, suggesting involvement in public health surveillance and potentially outbreak analysis, a core public health mission.  Post-processing of this data likely contributes to critical public health functions.",2025-05-16T21:15:20.084410+00:00
github_858928609,scenarios_covideda,exemptByMissionSystem,"AI Suggestion: The repository performs exploratory data analysis of COVID-19 data, which directly relates to public health and could inform outbreak analysis or other crucial public health decisions.  This aligns with a mission-critical system exemption.",2025-05-16T21:15:20.101622+00:00
github_978792312,grasp-repo-templates,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.123869+00:00
github_889142172,ansiblelinux,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.149967+00:00
github_476040788,davt_ezdx_arbonet,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.170207+00:00
github_476021173,davt_nccdhpd_davtehr,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.189110+00:00
github_644450686,cfa-hospital-qc,exemptByMissionSystem,"AI Suggestion: The repository monitors COVID-19 hospitalizations, a function directly supporting public health surveillance and outbreak response, thus critical to the public health mission.",2025-05-16T21:15:20.208303+00:00
github_598667117,dmz-api-management-infra,exemptByAgencySystem,"AI Suggestion: The repository manages API access for CDC systems within the Azure cloud, indicating internal-only infrastructure not directly accessible to the public.",2025-05-16T21:15:20.233984+00:00
github_874360280,cdc-clinicinfo-event-ivams-sapi,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.286472+00:00
github_346469235,CBS-Pipeline,exemptByMissionSystem,"AI Suggestion: The repository name ""CBS-Pipeline"" and description referencing ""Case-Based Surveillance"" strongly suggest a public health mission related to disease surveillance, making it a critical system.  The use of AWS Lambdas implies automation of a potentially time-sensitive process.",2025-05-16T21:15:20.306821+00:00
github_878628422,edav-posit-cicd-examples,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.332966+00:00
github_366467330,Epi-Info-Report-API,exemptByMissionSystem,"AI Suggestion: The API processes Epi Info Web Survey Reports, suggesting its use in public health data analysis, a core public health mission.  Real-time analysis implies a time-sensitive application crucial for timely public health responses.",2025-05-16T21:15:20.348291+00:00
github_643994937,cdh-ml-fs-abfm,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.371150+00:00
github_875967787,cdc-vams-externalstore-sapi,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.394861+00:00
github_861962631,oamd-infra-base-images,exemptNonCode,"Non-code repository (languages: [Dockerfile, Shell])",2025-05-16T21:15:20.412971+00:00
github_875968950,cdc-dead-letter-queues-handler,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.437829+00:00
github_960002899,edav-tableau-jwt,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.466804+00:00
github_705945067,cfa-forecasttools,exemptNonCode,Non-code repository (languages: [None detected]),2025-05-16T21:15:20.481118+00:00
github_605586026,NSSP_NNDSS_Shigellosis_data,exemptNonCode,Non-code repository (languages: [HTML]),2025-05-16T21:15:20.501458+00:00
